const,country,rated,awards,is_adult
tt0037366,United States,Approved,Won 1 Oscar. 5 wins & 2 nominations total,
tt0037408,United States,Passed,Nominated for 1 Oscar. 1 nomination total,
tt0037462,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0037470,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0037508,United States,Approved,,
tt0037522,United States,Approved,,
tt0037574,Italy,,,
tt0037576,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0037578,United Kingdom,Approved,,
tt0037585,Italy,,,
tt0037644,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0037672,United States,Passed,,
tt0037698,United States,Approved,,
tt0037793,United States,Approved,2 wins & 3 nominations total,
tt0037925,Italy,,,
tt0037953,Italy,15,,
tt0037974,Italy,,,
tt0038002,Italy,,,
tt0038016,Italy,,,
tt0038046,United States,Approved,1 win,
tt0038068,Mexico,,1 win & 2 nominations,
tt0038089,"Italy, France",,,
tt0038108,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0038141,Sweden,,,
tt0038155,Italy,,1 win,
tt0038183,Italy,,,
tt0038190,United States,PG,Won 1 Oscar. 9 wins & 1 nomination total,
tt0038213,United States,Approved,Nominated for 2 Oscars. 1 win & 2 nominations total,
tt0038220,Italy,,,
tt0038225,Italy,,,
tt0038232,Mexico,,2 wins & 3 nominations,
tt0038241,United States,Approved,,
tt0038243,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0038255,United States,Approved,,
tt0038272,Soviet Union,,,
tt0038279,United States,Approved,,
tt0038284,United States,Approved,,
tt0038287,Italy,,,
tt0038297,Italy,,1 nomination,
tt0038300,United States,Approved,,
tt0038301,Italy,,,
tt0038303,United States,Approved,Won 2 Oscars. 3 wins & 5 nominations total,
tt0038306,Italy,,,
tt0038358,Italy,,,
tt0038403,Italy,,,
tt0038408,France,,,
tt0038417,United States,Approved,1 win total,
tt0038443,Italy,,,
tt0038462,United States,Approved,,
tt0038473,Mexico,18,,
tt0038476,France,,2 wins & 2 nominations total,
tt0038492,United States,Approved,,
tt0038493,Spain,,4 wins,
tt0038499,United States,Approved,Nominated for 2 Oscars. 3 wins & 4 nominations total,
tt0038506,"France, Italy",,,
tt0038510,Mexico,PG,8 wins & 5 nominations,
tt0038525,Italy,,,
tt0038540,Italy,,,
tt0038559,United States,Approved,4 wins & 1 nomination total,
tt0038570,Italy,,,
tt0038645,Italy,,,
tt0038719,Italy,,,
tt0038748,Italy,,,
tt0038787,United States,Approved,Nominated for 2 Oscars. 3 wins & 3 nominations total,
tt0038813,Mexico,,1 win & 6 nominations total,
tt0038840,Italy,,,
tt0038882,Italy,,,
tt0038942,Italy,,,
tt0038967,United States,,,
tt0039001,United States,Approved,,
tt0039004,France,Approved,3 wins,
tt0039011,United States,Approved,,
tt0039015,United States,Approved,,
tt0039039,Italy,,,
tt0039059,Italy,,,
tt0039072,Italy,,,
tt0039086,Italy,,,
tt0039106,United States,Approved,,
tt0039114,United States,Passed,,
tt0039131,"Italy, United States",Approved,,
tt0039135,France,,2 nominations,
tt0039136,"Italy, Spain",,,
tt0039146,Italy,,,
tt0039152,United States,Approved,,
tt0039163,Italy,,,
tt0039198,United States,Passed,,
tt0039224,United States,Approved,4 wins total,
tt0039241,Italy,,,
tt0039243,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0039254,Italy,,,
tt0039256,Italy,,,
tt0039265,France,,,
tt0039280,Italy,,,
tt0039291,Italy,,1 win,
tt0039308,United States,Passed,,
tt0039319,Italy,,,
tt0039323,Mexico,PG,,
tt0039342,Italy,,,
tt0039348,Italy,,1 win,
tt0039352,Italy,,,
tt0039364,Italy,,,
tt0039377,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0039381,Italy,,1 win & 1 nomination,
tt0039391,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0039396,United States,Approved,,
tt0039397,Italy,,2 wins,
tt0039403,Italy,,,
tt0039415,Italy,,,
tt0039437,United States,Approved,Won 1 Oscar. 1 win & 3 nominations total,
tt0039492,United Kingdom,,,
tt0039499,Italy,,,
tt0039511,United States,Approved,,
tt0039536,United States,Approved,Nominated for 2 Oscars. 5 wins & 2 nominations total,
tt0039556,United States,Approved,3 wins total,
tt0039561,Italy,,,
tt0039599,Italy,,,
tt0039600,"United Kingdom, Italy",,,
