date,const,title,income,source
1950-03-24,tt0040774,La sepolta viva,52000,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-03-25,tt0036960,Don Pedro il crudele,,Elettrocarbonium 1949-50
1950-03-29,tt0038232,Il demone della carne,,Elettrocarbonium 1949-50
1950-03-29,tt0038190,Un albero cresce a Brooklyn,,Incam 1949-50
1950-04-01,tt0036960,Don Pedro il crudele,,Incam 1949-50
1950-04-04,tt0038232,Il demone della carne,6450,Incam 1949-50
1950-04-08,tt0039536,Il bacio della morte,45800,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-04-12,tt0038016,Il ratto delle sabine,,Elettrocarbonium 1949-50
1950-04-16,tt0039415,Genoveffa di Brabante,4000,Elettrocarbonium 1949-50
1950-04-18,tt0032758,Marco Visconti,,Elettrocarbonium 1949-50
1950-04-20,tt0038046,Salomè,,Elettrocarbonium 1949-50
1950-04-21,tt0037925,Monaca santa,,Elettrocarbonium 1949-50
1950-04-22,tt0038046,Salomè,,Incam 1949-50
1950-04-28,tt0026188,Casta Diva,15850,Incam 1949-50
1950-04-30,tt0026188,Casta Diva,,Elettrocarbonium 1949-50
1950-05-05,tt0207295,La collana della regina,4800,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-05-07,tt0035719,La casa senza tempo,11900,Incam 1949-50
1950-05-12,tt0041365,La figlia del peccato - Voce è notte,14300,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-05-18,tt0036577,Abbandonata,11385,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-05-20,tt0041633,La mano della morta,11900,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-05-23,tt0039615,I maledetti,,Elettrocarbonium 1949-50
1950-05-26,tt0039691,Pagliacci - Amore tragico,,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-06-01,tt0178337,La santa cittadina,67000,Incam 1949-50
1950-06-08,tt0178337,La santa cittadina,,Elettrocarbonium 1949-50
1950-06-10,tt0037925,Monaca santa,19500,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-06-14,tt0039615,I maledetti,11100,Incam 1949-50
1950-06-16,tt0041366,La figlia della Madonna,13000,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-06-17,tt0039615,I maledetti,,Elettrocarbonium 1949-50
